country,continent,year,lifeExp,pop,gdpPercap,pop_indicator,lifeExp_indicator
Indonesia,Asia,2007,70.65,223547000,3540.651564,high,low
Iran,Asia,1952,44.869,17272000,3035.326002,low,low
Iran,Asia,1957,47.181,19792000,3290.257643,low,low
Iran,Asia,1962,49.325,22874000,4187.329802,low,low
Iran,Asia,1967,52.469,26538000,5906.731805,low,low
Iran,Asia,1972,55.234,30614000,9613.818607,low,low
Iran,Asia,1977,57.702,35480679,11888.59508,low,low
Iran,Asia,1982,59.62,43072751,7608.334602,low,low
Iran,Asia,1987,63.04,51889696,6642.881371,low,low
Iran,Asia,1992,65.742,60397973,7235.653188,low,low
Iran,Asia,1997,68.042,63327987,8263.590301,low,low
Iran,Asia,2002,69.451,66907826,9240.761975,low,low
Iran,Asia,2007,70.964,69453570,11605.71449,low,low
Iraq,Asia,1952,45.32,5441766,4129.766056,low,low
Iraq,Asia,1957,48.437,6248643,6229.333562,low,low
Iraq,Asia,1962,51.457,7240260,8341.737815,low,low
Iraq,Asia,1967,54.459,8519282,8931.459811,low,low
Iraq,Asia,1972,56.95,10061506,9576.037596,low,low
Iraq,Asia,1977,60.413,11882916,14688.23507,low,low
Iraq,Asia,1982,62.038,14173318,14517.90711,low,low
Iraq,Asia,1987,65.044,16543189,11643.57268,low,low
Iraq,Asia,1992,59.461,17861905,3745.640687,low,low
Iraq,Asia,1997,58.811,20775703,3076.239795,low,low
Iraq,Asia,2002,57.046,24001816,4390.717312,low,low
Iraq,Asia,2007,59.545,27499638,4471.061906,low,low
Israel,Asia,1952,65.39,1620914,4086.522128,low,low
Israel,Asia,1957,67.84,1944401,5385.278451,low,low
Israel,Asia,1962,69.39,2310904,7105.630706,low,low
Israel,Asia,1967,70.75,2693585,8393.741404,low,low
Israel,Asia,1972,71.63,3095893,12786.93223,low,low
Israel,Asia,1977,73.06,3495918,13306.61921,low,low
Israel,Asia,1982,74.45,3858421,15367.0292,low,low
Israel,Asia,1987,75.6,4203148,17122.47986,low,low
Israel,Asia,1992,76.93,4936550,18051.52254,low,low
Israel,Asia,1997,78.269,5531387,20896.60924,low,low
Israel,Asia,2002,79.696,6029529,21905.59514,low,low
Israel,Asia,2007,80.745,6426679,25523.2771,low,low
Japan,Asia,1952,63.03,86459025,3216.956347,high,low
Japan,Asia,1957,65.5,91563009,4317.694365,high,low
Japan,Asia,1962,68.73,95831757,6576.649461,high,low
Japan,Asia,1967,71.43,100825279,9847.788607,high,low
Japan,Asia,1972,73.42,107188273,14778.78636,high,low
Japan,Asia,1977,75.38,113872473,16610.37701,high,low
Japan,Asia,1982,77.11,118454974,19384.10571,high,low
Japan,Asia,1987,78.67,122091325,22375.94189,high,low
Japan,Asia,1992,79.36,124329269,26824.89511,high,low
Japan,Asia,1997,80.69,125956499,28816.58499,high,low
Japan,Asia,2002,82,127065841,28604.5919,high,low
Japan,Asia,2007,82.603,127467972,31656.06806,high,low
Jordan,Asia,1952,43.158,607914,1546.907807,low,low
Jordan,Asia,1957,45.669,746559,1886.080591,low,low
Jordan,Asia,1962,48.126,933559,2348.009158,low,low
Jordan,Asia,1967,51.629,1255058,2741.796252,low,low
Jordan,Asia,1972,56.528,1613551,2110.856309,low,low
Jordan,Asia,1977,61.134,1937652,2852.351568,low,low
Jordan,Asia,1982,63.739,2347031,4161.415959,low,low
Jordan,Asia,1987,65.869,2820042,4448.679912,low,low
Jordan,Asia,1992,68.015,3867409,3431.593647,low,low
Jordan,Asia,1997,69.772,4526235,3645.379572,low,low
Jordan,Asia,2002,71.263,5307470,3844.917194,low,low
Jordan,Asia,2007,72.535,6053193,4519.461171,low,low
"Korea, Dem. Rep.",Asia,1952,50.056,8865488,1088.277758,low,low
"Korea, Dem. Rep.",Asia,1957,54.081,9411381,1571.134655,low,low
"Korea, Dem. Rep.",Asia,1962,56.656,10917494,1621.693598,low,low
"Korea, Dem. Rep.",Asia,1967,59.942,12617009,2143.540609,low,low
"Korea, Dem. Rep.",Asia,1972,63.983,14781241,3701.621503,low,low
"Korea, Dem. Rep.",Asia,1977,67.159,16325320,4106.301249,low,low
"Korea, Dem. Rep.",Asia,1982,69.1,17647518,4106.525293,low,low
"Korea, Dem. Rep.",Asia,1987,70.647,19067554,4106.492315,low,low
"Korea, Dem. Rep.",Asia,1992,69.978,20711375,3726.063507,low,low
"Korea, Dem. Rep.",Asia,1997,67.727,21585105,1690.756814,low,low
"Korea, Dem. Rep.",Asia,2002,66.662,22215365,1646.758151,low,low
"Korea, Dem. Rep.",Asia,2007,67.297,23301725,1593.06548,low,low
"Korea, Rep.",Asia,1952,47.453,20947571,1030.592226,low,low
"Korea, Rep.",Asia,1957,52.681,22611552,1487.593537,low,low
"Korea, Rep.",Asia,1962,55.292,26420307,1536.344387,low,low
"Korea, Rep.",Asia,1967,57.716,30131000,2029.228142,low,low
"Korea, Rep.",Asia,1972,62.612,33505000,3030.87665,low,low
"Korea, Rep.",Asia,1977,64.766,36436000,4657.22102,low,low
"Korea, Rep.",Asia,1982,67.123,39326000,5622.942464,low,low
"Korea, Rep.",Asia,1987,69.81,41622000,8533.088805,low,low
"Korea, Rep.",Asia,1992,72.244,43805450,12104.27872,low,low
"Korea, Rep.",Asia,1997,74.647,46173816,15993.52796,low,low
"Korea, Rep.",Asia,2002,77.045,47969150,19233.98818,low,low
"Korea, Rep.",Asia,2007,78.623,49044790,23348.13973,low,low
Kuwait,Asia,1952,55.565,160000,108382.3529,low,low
Kuwait,Asia,1957,58.033,212846,113523.1329,low,low
Kuwait,Asia,1962,60.47,358266,95458.11176,low,low
Kuwait,Asia,1967,64.624,575003,80894.88326,low,low
Kuwait,Asia,1972,67.712,841934,109347.867,low,low
Kuwait,Asia,1977,69.343,1140357,59265.47714,low,low
Kuwait,Asia,1982,71.309,1497494,31354.03573,low,low
Kuwait,Asia,1987,74.174,1891487,28118.42998,low,low
Kuwait,Asia,1992,75.19,1418095,34932.91959,low,low
Kuwait,Asia,1997,76.156,1765345,40300.619960000004,low,low
Kuwait,Asia,2002,76.904,2111561,35110.10566,low,low
Kuwait,Asia,2007,77.588,2505559,47306.98978,low,low
Lebanon,Asia,1952,55.928,1439529,4834.804067,low,low
Lebanon,Asia,1957,59.489,1647412,6089.786934,low,low
Lebanon,Asia,1962,62.094,1886848,5714.560611,low,low
Lebanon,Asia,1967,63.87,2186894,6006.983042,low,low
Lebanon,Asia,1972,65.421,2680018,7486.384341,low,low
Lebanon,Asia,1977,66.099,3115787,8659.696836,low,low
Lebanon,Asia,1982,66.983,3086876,7640.519521,low,low
Lebanon,Asia,1987,67.926,3089353,5377.091329,low,low
Lebanon,Asia,1992,69.292,3219994,6890.806854,low,low
Lebanon,Asia,1997,70.265,3430388,8754.96385,low,low
Lebanon,Asia,2002,71.028,3677780,9313.93883,low,low
Lebanon,Asia,2007,71.993,3921278,10461.05868,low,low
Malaysia,Asia,1952,48.463,6748378,1831.132894,low,low
Malaysia,Asia,1957,52.102,7739235,1810.066992,low,low
Malaysia,Asia,1962,55.737,8906385,2036.884944,low,low
Malaysia,Asia,1967,59.371,10154878,2277.742396,low,low
Malaysia,Asia,1972,63.01,11441462,2849.09478,low,low
Malaysia,Asia,1977,65.256,12845381,3827.921571,low,low
Malaysia,Asia,1982,68,14441916,4920.355951,low,low
Malaysia,Asia,1987,69.5,16331785,5249.802653,low,low
Malaysia,Asia,1992,70.693,18319502,7277.912802,low,low
Malaysia,Asia,1997,71.938,20476091,10132.90964,low,low
Malaysia,Asia,2002,73.044,22662365,10206.97794,low,low
Malaysia,Asia,2007,74.241,24821286,12451.6558,low,low
Mongolia,Asia,1952,42.244,800663,786.5668575,low,low
Mongolia,Asia,1957,45.248,882134,912.6626085,low,low
Mongolia,Asia,1962,48.251,1010280,1056.353958,low,low
Mongolia,Asia,1967,51.253,1149500,1226.04113,low,low
Mongolia,Asia,1972,53.754,1320500,1421.741975,low,low
Mongolia,Asia,1977,55.491,1528000,1647.511665,low,low
Mongolia,Asia,1982,57.489,1756032,2000.603139,low,low
Mongolia,Asia,1987,60.222,2015133,2338.008304,low,low
Mongolia,Asia,1992,61.271,2312802,1785.402016,low,low
Mongolia,Asia,1997,63.625,2494803,1902.2521,low,low
Mongolia,Asia,2002,65.033,2674234,2140.739323,low,low
Mongolia,Asia,2007,66.803,2874127,3095.772271,low,low
Myanmar,Asia,1952,36.319,20092996,331,low,low
Myanmar,Asia,1957,41.905,21731844,350,low,low
Myanmar,Asia,1962,45.108,23634436,388,low,low
Myanmar,Asia,1967,49.379,25870271,349,low,low
Myanmar,Asia,1972,53.07,28466390,357,low,low
Myanmar,Asia,1977,56.059,31528087,371,low,low
Myanmar,Asia,1982,58.056,34680442,424,low,low
Myanmar,Asia,1987,58.339,38028578,385,low,low
Myanmar,Asia,1992,59.32,40546538,347,low,low
Myanmar,Asia,1997,60.328,43247867,415,low,low
Myanmar,Asia,2002,59.908,45598081,611,low,low
Myanmar,Asia,2007,62.069,47761980,944,low,low
Nepal,Asia,1952,36.157,9182536,545.8657229,low,low
Nepal,Asia,1957,37.686,9682338,597.9363558,low,low
Nepal,Asia,1962,39.393,10332057,652.3968593,low,low
Nepal,Asia,1967,41.472,11261690,676.4422254,low,low
Nepal,Asia,1972,43.971,12412593,674.7881296,low,low
Nepal,Asia,1977,46.748,13933198,694.1124398,low,low
Nepal,Asia,1982,49.594,15796314,718.3730947,low,low
Nepal,Asia,1987,52.537,17917180,775.6324501,low,low
Nepal,Asia,1992,55.727,20326209,897.7403604,low,low
Nepal,Asia,1997,59.426,23001113,1010.892138,low,low
Nepal,Asia,2002,61.34,25873917,1057.206311,low,low
Nepal,Asia,2007,63.785,28901790,1091.359778,low,low
Oman,Asia,1952,37.578,507833,1828.230307,low,low
Oman,Asia,1957,40.08,561977,2242.746551,low,low
Oman,Asia,1962,43.165,628164,2924.638113,low,low
Oman,Asia,1967,46.988,714775,4720.942687,low,low
Oman,Asia,1972,52.143,829050,10618.03855,low,low
Oman,Asia,1977,57.367,1004533,11848.34392,low,low
Oman,Asia,1982,62.728,1301048,12954.79101,low,low
Oman,Asia,1987,67.734,1593882,18115.22313,low,low
Oman,Asia,1992,71.197,1915208,18616.70691,low,low
Oman,Asia,1997,72.499,2283635,19702.05581,low,low
Oman,Asia,2002,74.193,2713462,19774.83687,low,low
Oman,Asia,2007,75.64,3204897,22316.19287,low,low
Pakistan,Asia,1952,43.436,41346560,684.5971438,low,low
Pakistan,Asia,1957,45.557,46679944,747.0835292,low,low
Pakistan,Asia,1962,47.67,53100671,803.3427418,low,low
Pakistan,Asia,1967,49.8,60641899,942.4082588,low,low
Pakistan,Asia,1972,51.929,69325921,1049.938981,low,low
Pakistan,Asia,1977,54.043,78152686,1175.921193,high,low
Pakistan,Asia,1982,56.158,91462088,1443.429832,high,low
Pakistan,Asia,1987,58.245,105186881,1704.686583,high,low
Pakistan,Asia,1992,60.838,120065004,1971.829464,high,low
Pakistan,Asia,1997,61.818,135564834,2049.350521,high,low
Pakistan,Asia,2002,63.61,153403524,2092.712441,high,low
Pakistan,Asia,2007,65.483,169270617,2605.94758,high,low
Philippines,Asia,1952,47.752,22438691,1272.880995,low,low
Philippines,Asia,1957,51.334,26072194,1547.944844,low,low
Philippines,Asia,1962,54.757,30325264,1649.552153,low,low
Philippines,Asia,1967,56.393,35356600,1814.12743,low,low
Philippines,Asia,1972,58.065,40850141,1989.37407,low,low
Philippines,Asia,1977,60.06,46850962,2373.204287,low,low
Philippines,Asia,1982,62.082,53456774,2603.273765,low,low
Philippines,Asia,1987,64.151,60017788,2189.634995,low,low
Philippines,Asia,1992,66.458,67185766,2279.324017,low,low
Philippines,Asia,1997,68.564,75012988,2536.534925,low,low
Philippines,Asia,2002,70.303,82995088,2650.921068,high,low
Philippines,Asia,2007,71.688,91077287,3190.481016,high,low
Saudi Arabia,Asia,1952,39.875,4005677,6459.554823,low,low
Saudi Arabia,Asia,1957,42.868,4419650,8157.591248,low,low
Saudi Arabia,Asia,1962,45.914,4943029,11626.41975,low,low
Saudi Arabia,Asia,1967,49.901,5618198,16903.04886,low,low
Saudi Arabia,Asia,1972,53.886,6472756,24837.42865,low,low
Saudi Arabia,Asia,1977,58.69,8128505,34167.7626,low,low
Saudi Arabia,Asia,1982,63.012,11254672,33693.17525,low,low
Saudi Arabia,Asia,1987,66.295,14619745,21198.26136,low,low
Saudi Arabia,Asia,1992,68.768,16945857,24841.61777,low,low
Saudi Arabia,Asia,1997,70.533,21229759,20586.69019,low,low
Saudi Arabia,Asia,2002,71.626,24501530,19014.54118,low,low
Saudi Arabia,Asia,2007,72.777,27601038,21654.83194,low,low
Singapore,Asia,1952,60.396,1127000,2315.138227,low,low
Singapore,Asia,1957,63.179,1445929,2843.104409,low,low
Singapore,Asia,1962,65.798,1750200,3674.735572,low,low
Singapore,Asia,1967,67.946,1977600,4977.41854,low,low
Singapore,Asia,1972,69.521,2152400,8597.756202,low,low
Singapore,Asia,1977,70.795,2325300,11210.08948,low,low
Singapore,Asia,1982,71.76,2651869,15169.16112,low,low
Singapore,Asia,1987,73.56,2794552,18861.53081,low,low
Singapore,Asia,1992,75.788,3235865,24769.8912,low,low
Singapore,Asia,1997,77.158,3802309,33519.4766,low,low
Singapore,Asia,2002,78.77,4197776,36023.1054,low,low
Singapore,Asia,2007,79.972,4553009,47143.17964,low,low
Sri Lanka,Asia,1952,57.593,7982342,1083.53203,low,low
Sri Lanka,Asia,1957,61.456,9128546,1072.546602,low,low
Sri Lanka,Asia,1962,62.192,10421936,1074.47196,low,low
Sri Lanka,Asia,1967,64.266,11737396,1135.514326,low,low
Sri Lanka,Asia,1972,65.042,13016733,1213.39553,low,low
Sri Lanka,Asia,1977,65.949,14116836,1348.775651,low,low
Sri Lanka,Asia,1982,68.757,15410151,1648.079789,low,low
Sri Lanka,Asia,1987,69.011,16495304,1876.766827,low,low
Sri Lanka,Asia,1992,70.379,17587060,2153.739222,low,low
Sri Lanka,Asia,1997,70.457,18698655,2664.477257,low,low
Sri Lanka,Asia,2002,70.815,19576783,3015.378833,low,low
Sri Lanka,Asia,2007,72.396,20378239,3970.095407,low,low
Syria,Asia,1952,45.883,3661549,1643.485354,low,low
Syria,Asia,1957,48.284,4149908,2117.234893,low,low
Syria,Asia,1962,50.305,4834621,2193.037133,low,low
Syria,Asia,1967,53.655,5680812,1881.923632,low,low
Syria,Asia,1972,57.296,6701172,2571.423014,low,low
Syria,Asia,1977,61.195,7932503,3195.484582,low,low
Syria,Asia,1982,64.59,9410494,3761.837715,low,low
Syria,Asia,1987,66.974,11242847,3116.774285,low,low
Syria,Asia,1992,69.249,13219062,3340.542768,low,low
Syria,Asia,1997,71.527,15081016,4014.238972,low,low
Syria,Asia,2002,73.053,17155814,4090.925331,low,low
Syria,Asia,2007,74.143,19314747,4184.548089,low,low
Taiwan,Asia,1952,58.5,8550362,1206.947913,low,low
Taiwan,Asia,1957,62.4,10164215,1507.86129,low,low
Taiwan,Asia,1962,65.2,11918938,1822.879028,low,low
Taiwan,Asia,1967,67.5,13648692,2643.858681,low,low
Taiwan,Asia,1972,69.39,15226039,4062.523897,low,low
Taiwan,Asia,1977,70.59,16785196,5596.519826,low,low
Taiwan,Asia,1982,72.16,18501390,7426.354774,low,low
Taiwan,Asia,1987,73.4,19757799,11054.56175,low,low
Taiwan,Asia,1992,74.26,20686918,15215.6579,low,low
Taiwan,Asia,1997,75.25,21628605,20206.82098,low,low
Taiwan,Asia,2002,76.99,22454239,23235.42329,low,low
Taiwan,Asia,2007,78.4,23174294,28718.27684,low,low
Thailand,Asia,1952,50.848,21289402,757.7974177,low,low
Thailand,Asia,1957,53.63,25041917,793.5774148,low,low
Thailand,Asia,1962,56.061,29263397,1002.199172,low,low
Thailand,Asia,1967,58.285,34024249,1295.46066,low,low
Thailand,Asia,1972,60.405,39276153,1524.358936,low,low
Thailand,Asia,1977,62.494,44148285,1961.224635,low,low
Thailand,Asia,1982,64.597,48827160,2393.219781,low,low
Thailand,Asia,1987,66.084,52910342,2982.653773,low,low
Thailand,Asia,1992,67.298,56667095,4616.896545,low,low
Thailand,Asia,1997,67.521,60216677,5852.625497,low,low
Thailand,Asia,2002,68.564,62806748,5913.187529,low,low
Thailand,Asia,2007,70.616,65068149,7458.396327,low,low
Vietnam,Asia,1952,40.412,26246839,605.0664917,low,low
Vietnam,Asia,1957,42.887,28998543,676.2854478,low,low
Vietnam,Asia,1962,45.363,33796140,772.0491602,low,low
Vietnam,Asia,1967,47.838,39463910,637.1232887,low,low
Vietnam,Asia,1972,50.254,44655014,699.5016441,low,low
Vietnam,Asia,1977,55.764,50533506,713.5371196,low,low
Vietnam,Asia,1982,58.816,56142181,707.2357863,low,low
Vietnam,Asia,1987,62.82,62826491,820.7994449,low,low
Vietnam,Asia,1992,67.662,69940728,989.0231487,low,low
Vietnam,Asia,1997,70.672,76048996,1385.896769,low,low
Vietnam,Asia,2002,73.017,80908147,1764.456677,high,low
Vietnam,Asia,2007,74.249,85262356,2441.576404,high,low
West Bank and Gaza,Asia,1952,43.16,1030585,1515.592329,low,low
West Bank and Gaza,Asia,1957,45.671,1070439,1827.067742,low,low
West Bank and Gaza,Asia,1962,48.127,1133134,2198.956312,low,low
West Bank and Gaza,Asia,1967,51.631,1142636,2649.715007,low,low
West Bank and Gaza,Asia,1972,56.532,1089572,3133.409277,low,low
West Bank and Gaza,Asia,1977,60.765,1261091,3682.831494,low,low
West Bank and Gaza,Asia,1982,64.406,1425876,4336.032082,low,low
West Bank and Gaza,Asia,1987,67.046,1691210,5107.197384,low,low
West Bank and Gaza,Asia,1992,69.718,2104779,6017.654756,low,low
West Bank and Gaza,Asia,1997,71.096,2826046,7110.667619,low,low
West Bank and Gaza,Asia,2002,72.37,3389578,4515.487575,low,low
West Bank and Gaza,Asia,2007,73.422,4018332,3025.349798,low,low
"Yemen, Rep.",Asia,1952,32.548,4963829,781.7175761,low,low
"Yemen, Rep.",Asia,1957,33.97,5498090,804.8304547,low,low
"Yemen, Rep.",Asia,1962,35.18,6120081,825.6232006,low,low
"Yemen, Rep.",Asia,1967,36.984,6740785,862.4421463,low,low
"Yemen, Rep.",Asia,1972,39.848,7407075,1265.047031,low,low
"Yemen, Rep.",Asia,1977,44.175,8403990,1829.765177,low,low
"Yemen, Rep.",Asia,1982,49.113,9657618,1977.55701,low,low
"Yemen, Rep.",Asia,1987,52.922,11219340,1971.741538,low,low
"Yemen, Rep.",Asia,1992,55.599,13367997,1879.496673,low,low
"Yemen, Rep.",Asia,1997,58.02,15826497,2117.484526,low,low
"Yemen, Rep.",Asia,2002,60.308,18701257,2234.820827,low,low
"Yemen, Rep.",Asia,2007,62.698,22211743,2280.769906,low,low
